2023-11-02 13:58 test_domain Round:  25 | Epochs: 125 | Domain: p | loss: 0.2272 | acc: 92.81% | auc: 99.59%
2023-11-02 13:59 before_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.2329 | acc: 92.79% | auc: 99.53%
2023-11-02 14:01 before_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.1919 | acc: 94.51% | auc: 99.58%
2023-11-02 14:03 before_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.1735 | acc: 93.72% | auc: 99.76%
2023-11-02 14:04 after_fed Round:  26 | Epochs: 130 | Domain: a | loss: 0.4926 | acc: 83.17% | auc: 98.37%
2023-11-02 14:05 after_fed Round:  26 | Epochs: 130 | Domain: c | loss: 0.4106 | acc: 89.03% | auc: 99.13%
2023-11-02 14:05 after_fed Round:  26 | Epochs: 130 | Domain: s | loss: 0.2111 | acc: 91.71% | auc: 99.57%
2023-11-02 14:05 Model saved! Best Val Acc: 88.85%
2023-11-02 14:05 test_domain Round:  26 | Epochs: 130 | Domain: p | loss: 0.2214 | acc: 92.87% | auc: 99.58%
2023-11-02 14:06 before_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.2387 | acc: 93.75% | auc: 99.48%
2023-11-02 14:08 before_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.1949 | acc: 94.94% | auc: 99.58%
2023-11-02 14:10 before_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.1698 | acc: 93.97% | auc: 99.77%
2023-11-02 14:12 after_fed Round:  27 | Epochs: 135 | Domain: a | loss: 0.4946 | acc: 83.17% | auc: 98.44%
2023-11-02 14:12 after_fed Round:  27 | Epochs: 135 | Domain: c | loss: 0.4289 | acc: 87.76% | auc: 99.08%
2023-11-02 14:12 after_fed Round:  27 | Epochs: 135 | Domain: s | loss: 0.2099 | acc: 90.95% | auc: 99.57%
2023-11-02 14:12 test_domain Round:  27 | Epochs: 135 | Domain: p | loss: 0.2249 | acc: 92.87% | auc: 99.59%
2023-11-02 14:14 before_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.2509 | acc: 92.79% | auc: 99.45%
2023-11-02 14:15 before_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.2032 | acc: 94.51% | auc: 99.54%
2023-11-02 14:17 before_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.1884 | acc: 93.97% | auc: 99.71%
2023-11-02 14:19 after_fed Round:  28 | Epochs: 140 | Domain: a | loss: 0.4858 | acc: 84.62% | auc: 98.43%
2023-11-02 14:19 after_fed Round:  28 | Epochs: 140 | Domain: c | loss: 0.4136 | acc: 88.61% | auc: 99.12%
2023-11-02 14:19 after_fed Round:  28 | Epochs: 140 | Domain: s | loss: 0.2173 | acc: 90.70% | auc: 99.56%
2023-11-02 14:19 test_domain Round:  28 | Epochs: 140 | Domain: p | loss: 0.2189 | acc: 93.17% | auc: 99.60%
2023-11-02 14:21 before_fed Round:  29 | Epochs: 145 | Domain: a | loss: 0.2393 | acc: 93.75% | auc: 99.47%
2023-11-02 14:22 before_fed Round:  29 | Epochs: 145 | Domain: c | loss: 0.1946 | acc: 94.51% | auc: 99.60%
2023-11-02 14:24 before_fed Round:  29 | Epochs: 145 | Domain: s | loss: 0.1838 | acc: 93.22% | auc: 99.73%
2023-11-02 14:26 after_fed Round:  29 | Epochs: 145 | Domain: a | loss: 0.4857 | acc: 83.65% | auc: 98.53%
2023-11-02 14:26 after_fed Round:  29 | Epochs: 145 | Domain: c | loss: 0.4171 | acc: 88.61% | auc: 99.10%
2023-11-02 14:26 after_fed Round:  29 | Epochs: 145 | Domain: s | loss: 0.2116 | acc: 91.71% | auc: 99.56%
